batch_id,batch_rows,success,error_message
1,100,TRUE,SUCCESS_ALREADY_EXISTS
2,100,TRUE,SUCCESS_ALREADY_EXISTS
3,100,TRUE,SUCCESS_ALREADY_EXISTS
4,100,TRUE,SUCCESS_ALREADY_EXISTS
5,100,TRUE,SUCCESS_ALREADY_EXISTS
6,100,TRUE,SUCCESS_ALREADY_EXISTS
7,100,TRUE,SUCCESS_ALREADY_EXISTS
8,100,TRUE,SUCCESS_ALREADY_EXISTS
9,100,TRUE,SUCCESS_ALREADY_EXISTS
10,100,TRUE,SUCCESS_ALREADY_EXISTS
11,100,TRUE,SUCCESS_ALREADY_EXISTS
12,100,TRUE,SUCCESS_ALREADY_EXISTS
13,100,TRUE,SUCCESS_ALREADY_EXISTS
14,100,TRUE,SUCCESS_ALREADY_EXISTS
15,100,TRUE,SUCCESS_ALREADY_EXISTS
16,100,TRUE,SUCCESS_ALREADY_EXISTS
17,100,TRUE,SUCCESS_ALREADY_EXISTS
18,100,TRUE,SUCCESS_ALREADY_EXISTS
19,100,TRUE,SUCCESS_ALREADY_EXISTS
20,100,TRUE,SUCCESS_ALREADY_EXISTS
21,100,TRUE,SUCCESS_ALREADY_EXISTS
22,100,TRUE,SUCCESS_ALREADY_EXISTS
23,100,TRUE,SUCCESS_ALREADY_EXISTS
24,100,TRUE,SUCCESS_ALREADY_EXISTS
25,100,TRUE,SUCCESS_ALREADY_EXISTS
26,100,TRUE,SUCCESS_ALREADY_EXISTS
27,100,TRUE,SUCCESS_ALREADY_EXISTS
28,100,TRUE,SUCCESS_ALREADY_EXISTS
29,100,TRUE,SUCCESS_ALREADY_EXISTS
30,83,TRUE,SUCCESS_ALREADY_EXISTS
