skill_label,total_skill_postings,total_skill_rate_pct,high_salary_skill_postings,high_salary_skill_rate_pct,lift_pct_point
Machine Learning,171,5.7324840764331215,122,16.353887399463808,10.621403323030686
Data Analysis,1169,39.188736171639285,335,44.90616621983914,5.717430048199857
Database,255,8.548441166610795,91,12.198391420911529,3.649950254300734
Etl,135,4.525645323499832,53,7.104557640750671,2.578912317250839
Cloud,136,4.5591686221924235,53,7.104557640750671,2.5453890185582475
Statistics,70,2.3466309084813943,25,3.351206434316354,1.0045755258349596
Python,93,3.1176667784109955,28,3.753351206434316,0.6356844280233205
Tableau,30,1.0056989607777405,5,0.6702412868632708,-0.33545767391446973
Powerbi,51,1.709688233322159,8,1.0723860589812333,-0.6373021743409257
R,86,2.8830036875628564,12,1.6085790884718498,-1.2744245990910064
Sql,232,7.777405296681193,41,5.495978552278821,-2.281426744402373
Communication,139,4.659738518270197,17,2.278820375335121,-2.380918142935077
Excel,113,3.7881327522628223,4,0.5361930294906166,-3.2519397227722053
Data Visualization,222,7.442172309755279,18,2.4128686327077746,-5.029303677047505
Reporting,763,25.5782769024472,120,16.0857908847185,-9.492486017728702
