row_id,role_category,experience_level,batch_id
901,Business Intelligence,entry,10
902,Business Intelligence,entry,10
903,Business Intelligence,entry,10
904,Business Intelligence,entry,10
905,Business Intelligence,entry,10
906,Business Intelligence,entry,10
907,Business Intelligence,entry,10
908,Business Intelligence,entry,10
909,Business Intelligence,entry,10
910,Business Intelligence,entry,10
911,Business Intelligence,entry,10
912,Business Intelligence,entry,10
913,Business Intelligence,entry,10
914,Business Intelligence,entry,10
915,Business Intelligence,entry,10
916,Business Intelligence,entry,10
917,Business Intelligence,entry,10
918,Business Intelligence,entry,10
919,Business Intelligence,entry,10
920,Business Intelligence,entry,10
921,Business Intelligence,entry,10
922,Business Intelligence,entry,10
923,Business Intelligence,entry,10
924,Business Intelligence,entry,10
925,Business Intelligence,entry,10
926,Business Intelligence,entry,10
927,Business Intelligence,entry,10
928,Business Intelligence,entry,10
929,Business Intelligence,entry,10
930,Business Intelligence,entry,10
931,Business Intelligence,entry,10
932,Business Intelligence,entry,10
933,Business Intelligence,entry,10
934,Business Intelligence,entry,10
935,Business Intelligence,entry,10
936,Business Intelligence,entry,10
937,Business Intelligence,entry,10
938,Business Intelligence,entry,10
939,Business Intelligence,entry,10
940,Business Intelligence,entry,10
941,Business Intelligence,entry,10
942,Business Intelligence,entry,10
943,Business Intelligence,entry,10
944,Business Intelligence,entry,10
945,Business Intelligence,entry,10
946,Business Intelligence,entry,10
947,Business Intelligence,entry,10
948,Business Intelligence,entry,10
949,Business Intelligence,entry,10
950,Business Intelligence,entry,10
951,Business Intelligence,entry,10
952,Business Intelligence,entry,10
953,Business Intelligence,entry,10
954,Business Intelligence,entry,10
955,Business Intelligence,entry,10
956,Business Intelligence,entry,10
957,Business Intelligence,entry,10
958,Business Intelligence,entry,10
959,Business Intelligence,entry,10
960,Business Intelligence,entry,10
961,Business Intelligence,entry,10
962,Business Intelligence,entry,10
963,Business Intelligence,entry,10
964,Business Intelligence,entry,10
965,Business Intelligence,entry,10
966,Business Intelligence,entry,10
967,Business Intelligence,entry,10
968,Business Intelligence,entry,10
969,Business Intelligence,entry,10
970,Business Intelligence,entry,10
971,Business Intelligence,entry,10
972,Business Intelligence,entry,10
973,Business Intelligence,entry,10
974,Business Intelligence,entry,10
975,Business Intelligence,entry,10
976,Business Intelligence,entry,10
977,Business Intelligence,entry,10
978,Business Intelligence,entry,10
979,Business Intelligence,entry,10
980,Business Intelligence,entry,10
981,Business Intelligence,entry,10
982,Business Intelligence,entry,10
983,Business Intelligence,entry,10
984,Business Intelligence,entry,10
985,Business Intelligence,entry,10
986,Business Intelligence,entry,10
987,Business Intelligence,entry,10
988,Business Intelligence,entry,10
989,Business Intelligence,entry,10
990,Data Engineer,entry,10
991,Data Engineer,entry,10
992,Data Engineer,entry,10
993,Data Engineer,entry,10
994,Data Engineer,entry,10
995,Data Engineer,mid,10
996,Data Engineer,entry,10
997,Data Engineer,entry,10
998,Data Engineer,entry,10
999,Data Engineer,senior,10
1000,Data Engineer,entry,10
